候选ID,Method,Profile,Description,说明
C1,no_rag,ali-qwen,All features - Qwen,完整版本（包含所有特性：CoT、Feedback、RAG）
C2,no_rag,deepseek,All features - DeepSeek,完整版本（包含所有特性：CoT、Feedback、RAG）
C3,no_rag,glm4.5,All features - GLM-4.5,完整版本（包含所有特性：CoT、Feedback、RAG）
C4,no_rag,gpt5,All features - GPT-5,完整版本（包含所有特性：CoT、Feedback、RAG）
C5,no_rag,grok4,All features - Grok-4,完整版本（包含所有特性：CoT、Feedback、RAG）
C6,no_cot,ali-qwen,No CoT - Qwen,移除Chain-of-Thought的版本
C7,no_cot,deepseek,No CoT - DeepSeek,移除Chain-of-Thought的版本
C8,no_cot,glm4.5,No CoT - GLM-4.5,移除Chain-of-Thought的版本
C9,no_cot,gpt5,No CoT - GPT-5,移除Chain-of-Thought的版本
C10,no_cot,grok4,No CoT - Grok-4,移除Chain-of-Thought的版本
C11,no_feedback,ali-qwen,No Feedback - Qwen,移除Feedback机制的版本
C12,no_feedback,deepseek,No Feedback - DeepSeek,移除Feedback机制的版本
C13,no_feedback,glm4.5,No Feedback - GLM-4.5,移除Feedback机制的版本
C14,no_feedback,gpt5,No Feedback - GPT-5,移除Feedback机制的版本
C15,no_feedback,grok4,No Feedback - Grok-4,移除Feedback机制的版本
C16,all,ali-qwen,No RAG - Qwen,移除RAG（检索增强生成）的版本
C17,all,deepseek,No RAG - DeepSeek,移除RAG（检索增强生成）的版本
C18,all,glm4.5,No RAG - GLM-4.5,移除RAG（检索增强生成）的版本
C19,all,gpt5,No RAG - GPT-5,移除RAG（检索增强生成）的版本
C20,all,grok4,No RAG - Grok-4,移除RAG（检索增强生成）的版本
